site,lat,lon,sky_view,slope,aspect,elevation
center,60.822,-139.131,0.945456874,11.0734015,177.709747,2415.0
AWS,60.8164659,-139.1238395,0.9351823224908836,4.098772615262557,163.56447982801964,2271.0
