site,sky_view,elevation,slope,aspect,kp,snowdepth,firndepth,lat,lon
AB,0.9539,1542,4.81,179.3,3.427,2.18,0,63.272482,-145.416498
AU,0.9487,1442,6.65,227.4,2.732,2.18,0,63.264986,-145.41675
B,0.9617,1682,6.13,206.6,3.295,3.3,0,63.285586,-145.41039
D,0.9364,1843,7.15,336.2,4.017,4.5,3,63.285115,-145.385018
