site,lat,lon,elevation,sky_view,slope,aspect
center,60.666,-139.114,2396,0.875657292,30.501226,244.06134
AWS,60.7421656,-139.2359388,1800,0.9561834065437667,0.2920709550380707,164.0388641357422
