density,depth
155.2795031,0.1
183.747412,0.2
217.3913043,0.3
230.3312629,0.4
248.447205,0.5
262.2498275,0.6
269.8905649,0.7
276.2681159,0.8
277.8763679,0.9
332.6934019,1.28
349.3207031,1.7346
370.2956217,1.76
380.8458614,2.5081
389.3297687,2.54
399.3395732,3.1518
407.206446,3.19
413.6104783,3.7742
417.4033908,3.82
436.6795265,4.58
