site,lat,lon,sky_view,slope,aspect,elevation
center,57.8443,-124.967,0.961825934,0.900081155,158.4053921,2189.0
AWS,57.8252,-124.9498667,0.9637410273652557,4.770840177703363,169.1883483075814,1993.0
