TIMESTAMP,temp,SWin,sp,uwind,rh,LWin,z,bcwet,bcdry,ocwet,ocdry,dustwet,dustdry,tp
4/19/2024 18:00,0.720166667,1462555.98,83366.66667,1.359,23.02333333,713700,1682,0,0,0,0,0,0,0
4/19/2024 19:00,-0.179833333,765715.548,83300,2.0145,23.225,710100,1682,0,0,0,0,0,0,0
4/19/2024 20:00,-0.425166667,83933.805,83200,1.922,21.01166667,708300,1682,0,0,0,0,0,0,0
4/19/2024 21:00,-1.311,0,83200,2.313166667,22.83333333,702000,1682,0,0,0,0,0,0,0
4/19/2024 22:00,-2.191,0,83200,2.286666667,22.16,697500,1682,0,0,0,0,0,0,0
4/19/2024 23:00,-2.300333333,0,83133.33333,2.078,22.64333333,695700,1682,0,0,0,0,0,0,0
4/20/2024 0:00,-2.059833333,0,83100,1.973833333,23.13333333,693900,1682,0,0,0,0,0,0,0
4/20/2024 1:00,-2.401333333,0,83100,1.822,24.10833333,693900,1682,0,0,0,0,0,0,0
4/20/2024 2:00,-2.88,0,83100,1.299666667,26.94833333,694800,1682,0,0,0,0,0,0,0
4/20/2024 3:00,-2.984,0,83100,1.564833333,30.485,702000,1682,0,0,0,0,0,0,0
4/20/2024 4:00,-3.087166667,0,83016.66667,2.004333333,29.86,704700,1682,0,0,0,0,0,0,0
4/20/2024 5:00,-3.098,0,82966.66667,1.366833333,30.96666667,702900,1682,0,0,0,0,0,0,0
4/20/2024 6:00,-3.389166667,21313.6038,82900,1.373,33.31166667,702000,1682,0,0,0,0,0,0,0
4/20/2024 7:00,-3.452,122900.454,82850,1.667333333,32.23833333,698400,1682,0,0,0,0,0,0,0
4/20/2024 8:00,-2.960833333,915418.14,82800,1.633666667,30.685,695700,1682,0,0,0,0,0,0,0
4/20/2024 9:00,-2.674,1406029.26,82800,1.196,31.58166667,693000,1682,0,0,0,0,0,0,0
4/20/2024 10:00,-2.270166667,2053883.7,82783.33333,1.417166667,31.91833333,708300,1682,0,0,0,0,0,0,0
4/20/2024 11:00,-1.656333333,2506194.3,82700,0.985666667,33.15,701100,1682,0,0,0,0,0,0,0
4/20/2024 12:00,-0.251166667,2822996.34,82700,0.968833333,35.86833333,716400,1682,0,0,0,0,0,0,0
4/20/2024 13:00,-0.827333333,2982780.66,82650,1.119,41.41333333,729900,1682,0,0,0,0,0,0,0
4/20/2024 14:00,1.572666667,2978481.48,82600,0.523666667,30.92,723600,1682,0,0,0,0,0,0,0
4/20/2024 15:00,0.534,2797848.78,82583.33333,0.817333333,42.34833333,729000,1682,0,0,0,0,0,0,0
4/20/2024 16:00,-0.566166667,2472321.96,82500,1.723666667,40.45833333,722700,1682,0,0,0,0,0,0,0
4/20/2024 17:00,-0.578833333,2008545.72,82500,1.256,39.23,715500,1682,0,0,0,0,0,0,0
4/20/2024 18:00,-1.198833333,1446106.74,82416.66667,1.000833333,44.53166667,704700,1682,0,0,0,0,0,0,0
4/20/2024 19:00,-2.416666667,778305.588,82400,1.532666667,39.01333333,694800,1682,0,0,0,0,0,0,0
4/20/2024 20:00,-3.0395,92034.018,82400,1.864666667,32.45666667,692100,1682,0,0,0,0,0,0,0
4/20/2024 21:00,-3.444,0,82316.66667,1.8315,29.68833333,698400,1682,0,0,0,0,0,0,0
4/20/2024 22:00,-3.5275,0,82300,2.018166667,30.52,696600,1682,0,0,0,0,0,0,0
